생존 수치 Fixed Data,,,
Capacity,기본 최대 내구도(초기값),내구도 최소값 제한(파괴를 반복해도 보장받는 최소값),부위 파괴 시 감소되는 최대 내구도 량
ID,Max,Min,ReduceAmount
HeadHP,50,50,0
ArmHP,25,10,3
LegHP,25,10,3
Battry,100,30,10
WillPower,100,0,0
,,,
배터리 소모 요소,,,
BatteryConsume,소모량,,
ID,Amount,,
Idle,1,,
Sprint,2,,
Jump,5,,
Attack,5,,
,,,
배터리 회복 요소,,,
BatteryRecover,회복량,,
ID,Amount,,
MonsterKill,10,,
BossHit,5,,
,,,
정신력 소모 요소,,,
WillConsume,소모량,,
ID,Amount,,
Idle,1,,
Night,2,,
HeadDestroyed,3,,
CatEvent,10,,
,,,
정신력 회복 요소,,,
WillRecover,회복량,,
ID,Amount,,
GrandFather,10,,
